Time[min]	alpha	va proj	v_0	rhoa	Qs	Qf	Qe	v_phi	g1
0.00000000	0.08382112	0.00000000	2.00000000	1029.18904355	0.02633318	0.00013238	0.02633318	1.57079633	1.31147194
0.00416667	0.08195421	0.00000503	0.90116743	1029.18895157	0.01278033	0.00020104	0.01278033	1.56888423	0.54914488
0.00833333	0.09320856	0.00000639	0.80335822	1029.18888909	0.01396458	0.00016528	0.01396458	1.56837772	0.42738163
0.01250000	0.09603333	0.00000758	0.73078651	1029.18883272	0.01397708	0.00017675	0.01397708	1.56793736	0.34395331
0.01666667	0.09891279	0.00000853	0.68269639	1029.18878065	0.01425395	0.00018676	0.01425395	1.56759315	0.28770783
0.02083333	0.10100128	0.00000933	0.64670062	1029.18873163	0.01452516	0.00019714	0.01452516	1.56730460	0.24657459
0.02500000	0.10266803	0.00001002	0.61842403	1029.18868494	0.01480173	0.00020736	0.01480173	1.56705640	0.21521412
0.02916667	0.10401861	0.00001064	0.59534758	1029.18864013	0.01507304	0.00021742	0.01507304	1.56683807	0.19051853
0.03333333	0.10513695	0.00001120	0.57598910	1029.18859687	0.01533645	0.00022727	0.01533645	1.56664280	0.17058364
0.03750000	0.10607836	0.00001171	0.55940220	1029.18855493	0.01559081	0.00023694	0.01559081	1.56646581	0.15416916
0.04166667	0.10688198	0.00001218	0.54495069	1029.18851412	0.01583591	0.00024642	0.01583591	1.56630366	0.14043128
0.04583333	0.10757616	0.00001262	0.53218846	1029.18847432	0.01607195	0.00025573	0.01607195	1.56615379	0.12877535
0.05000000	0.10818195	0.00001304	0.52079185	1029.18843541	0.01629932	0.00026488	0.01629932	1.56601423	0.11877006
0.05416667	0.10871531	0.00001343	0.51051933	1029.18839729	0.01651851	0.00027389	0.01651851	1.56588346	0.11009490
0.05833333	0.10918858	0.00001381	0.50118636	1029.18835989	0.01673002	0.00028275	0.01673002	1.56576025	0.10250677
0.06250000	0.10961142	0.00001416	0.49264900	1029.18832315	0.01693432	0.00029149	0.01693432	1.56564364	0.09581795
0.06666667	0.10999154	0.00001450	0.48479310	1029.18828702	0.01713190	0.00030012	0.01713190	1.56553282	0.08988124
0.07083333	0.11033514	0.00001483	0.47752666	1029.18825144	0.01732318	0.00030863	0.01732318	1.56542712	0.08457960
0.07500000	0.11064727	0.00001515	0.47077458	1029.18821638	0.01750857	0.00031704	0.01750857	1.56532600	0.07981884
0.07916667	0.11093209	0.00001546	0.46447485	1029.18818181	0.01768845	0.00032536	0.01768845	1.56522897	0.07552233
0.08333333	0.11119306	0.00001575	0.45857567	1029.18814768	0.01786315	0.00033359	0.01786315	1.56513564	0.07162709
0.08750000	0.11143306	0.00001604	0.45303339	1029.18811397	0.01803298	0.00034173	0.01803298	1.56504566	0.06808092
0.09166667	0.11165455	0.00001632	0.44781092	1029.18808066	0.01819825	0.00034980	0.01819825	1.56495874	0.06484020
0.09583333	0.11185959	0.00001660	0.44287649	1029.18804773	0.01835920	0.00035780	0.01835920	1.56487462	0.06186817
0.10000000	0.11204997	0.00001686	0.43820269	1029.18801515	0.01851608	0.00036572	0.01851608	1.56479306	0.05913369
0.10416667	0.11222721	0.00001713	0.43376572	1029.18798291	0.01866912	0.00037358	0.01866912	1.56471388	0.05661019
0.10833333	0.11239262	0.00001738	0.42954481	1029.18795099	0.01881852	0.00038139	0.01881852	1.56463688	0.05427486
0.11250000	0.11254737	0.00001763	0.42552171	1029.18791937	0.01896447	0.00038913	0.01896447	1.56456191	0.05210801
0.11666667	0.11269245	0.00001788	0.42168033	1029.18788804	0.01910715	0.00039682	0.01910715	1.56448884	0.05009260
0.12083333	0.11282875	0.00001812	0.41800639	1029.18785699	0.01924671	0.00040445	0.01924671	1.56441753	0.04821375
0.12500000	0.11295705	0.00001836	0.41448720	1029.18782621	0.01938332	0.00041204	0.01938332	1.56434787	0.04645844
0.12916667	0.11307802	0.00001860	0.41111138	1029.18779568	0.01951709	0.00041958	0.01951709	1.56427975	0.04481526
0.13333333	0.11319229	0.00001883	0.40786875	1029.18776539	0.01964818	0.00042708	0.01964818	1.56421308	0.04327411
0.13750000	0.11330039	0.00001905	0.40475014	1029.18773534	0.01977669	0.00043453	0.01977669	1.56414778	0.04182608
0.14166667	0.11340282	0.00001928	0.40174724	1029.18770552	0.01990274	0.00044194	0.01990274	1.56408377	0.04046322
0.14583333	0.11350001	0.00001950	0.39885256	1029.18767591	0.02002644	0.00044932	0.02002644	1.56402098	0.03917847
0.15000000	0.11359235	0.00001972	0.39605926	1029.18764652	0.02014788	0.00045665	0.02014788	1.56395933	0.03796551
0.15416667	0.11368019	0.00001994	0.39336112	1029.18761732	0.02026716	0.00046396	0.02026716	1.56389878	0.03681867
0.15833333	0.11376387	0.00002015	0.39075246	1029.18758833	0.02038436	0.00047123	0.02038436	1.56383926	0.03573287
0.16250000	0.11384366	0.00002036	0.38822806	1029.18755952	0.02049956	0.00047846	0.02049956	1.56378073	0.03470350
0.16666667	0.11391983	0.00002057	0.38578316	1029.18753090	0.02061285	0.00048567	0.02061285	1.56372313	0.03372642
0.17083333	0.11399262	0.00002078	0.38341335	1029.18750245	0.02072428	0.00049285	0.02072428	1.56366643	0.03279788
0.17500000	0.11406226	0.00002098	0.38111458	1029.18747418	0.02083394	0.00050000	0.02083394	1.56361057	0.03191445
0.17916667	0.11412893	0.00002119	0.37888310	1029.18744607	0.02094188	0.00050712	0.02094188	1.56355553	0.03107303
0.18333333	0.11419284	0.00002139	0.37671544	1029.18741813	0.02104816	0.00051421	0.02104816	1.56350127	0.03027080
0.18750000	0.11425413	0.00002159	0.37460840	1029.18739035	0.02115285	0.00052128	0.02115285	1.56344775	0.02950516
0.19166667	0.11431298	0.00002179	0.37255898	1029.18736272	0.02125600	0.00052833	0.02125600	1.56339494	0.02877375
0.19583333	0.11436952	0.00002198	0.37056441	1029.18733523	0.02135765	0.00053535	0.02135765	1.56334282	0.02807440
0.20000000	0.11442389	0.00002218	0.36862210	1029.18730790	0.02145786	0.00054235	0.02145786	1.56329135	0.02740511
0.20416667	0.11447621	0.00002237	0.36672963	1029.18728070	0.02155667	0.00054933	0.02155667	1.56324051	0.02676405
0.20833333	0.11452658	0.00002257	0.36488476	1029.18725365	0.02165413	0.00055629	0.02165413	1.56319028	0.02614953
0.21250000	0.11457512	0.00002276	0.36308535	1029.18722673	0.02175028	0.00056323	0.02175028	1.56314064	0.02555999
0.21666667	0.11462193	0.00002295	0.36132945	1029.18719994	0.02184516	0.00057015	0.02184516	1.56309155	0.02499398
0.22083333	0.11466709	0.00002314	0.35961518	1029.18717328	0.02193881	0.00057705	0.02193881	1.56304300	0.02445017
0.22500000	0.11471069	0.00002332	0.35794080	1029.18714674	0.02203126	0.00058393	0.02203126	1.56299498	0.02392733
0.22916667	0.11475280	0.00002351	0.35630467	1029.18712032	0.02212255	0.00059080	0.02212255	1.56294746	0.02342430
0.23333333	0.11479351	0.00002370	0.35470525	1029.18709403	0.02221271	0.00059765	0.02221271	1.56290043	0.02294001
0.23750000	0.11483288	0.00002388	0.35314108	1029.18706785	0.02230177	0.00060448	0.02230177	1.56285387	0.02247347
0.24166667	0.11487097	0.00002406	0.35161078	1029.18704179	0.02238977	0.00061130	0.02238977	1.56280776	0.02202376
0.24583333	0.11490784	0.00002425	0.35011306	1029.18701584	0.02247672	0.00061810	0.02247672	1.56276209	0.02159002
0.25000000	0.11494355	0.00002443	0.34864669	1029.18699000	0.02256267	0.00062489	0.02256267	1.56271685	0.02117142
0.25416667	0.11497816	0.00002461	0.34721050	1029.18696426	0.02264764	0.00063166	0.02264764	1.56267202	0.02076723
0.25833333	0.11501171	0.00002479	0.34580340	1029.18693863	0.02273165	0.00063842	0.02273165	1.56262759	0.02037673
0.26250000	0.11504425	0.00002497	0.34442433	1029.18691311	0.02281472	0.00064517	0.02281472	1.56258354	0.01999927
0.26666667	0.11507582	0.00002515	0.34307232	1029.18688768	0.02289689	0.00065190	0.02289689	1.56253988	0.01963422
0.27083333	0.11510647	0.00002533	0.34174642	1029.18686236	0.02297817	0.00065863	0.02297817	1.56249657	0.01928100
0.27500000	0.11513623	0.00002550	0.34044573	1029.18683713	0.02305859	0.00066533	0.02305859	1.56245362	0.01893906
0.27916667	0.11516515	0.00002568	0.33916941	1029.18681200	0.02313816	0.00067203	0.02313816	1.56241102	0.01860790
0.28333333	0.11519325	0.00002585	0.33791664	1029.18678696	0.02321690	0.00067872	0.02321690	1.56236875	0.01828703
0.28750000	0.11522056	0.00002603	0.33668665	1029.18676201	0.02329484	0.00068540	0.02329484	1.56232680	0.01797599
0.29166667	0.11524713	0.00002620	0.33547872	1029.18673715	0.02337200	0.00069206	0.02337200	1.56228517	0.01767434
0.29583333	0.11527298	0.00002638	0.33429212	1029.18671238	0.02344839	0.00069872	0.02344839	1.56224385	0.01738170
0.30000000	0.11529814	0.00002655	0.33312621	1029.18668770	0.02352402	0.00070536	0.02352402	1.56220282	0.01709767
0.30416667	0.11532263	0.00002673	0.33198033	1029.18666310	0.02359893	0.00071200	0.02359893	1.56216209	0.01682189
0.30833333	0.11534648	0.00002690	0.33085387	1029.18663859	0.02367311	0.00071862	0.02367311	1.56212164	0.01655402
0.31250000	0.11536971	0.00002707	0.32974626	1029.18661416	0.02374660	0.00072524	0.02374660	1.56208147	0.01629373
0.31666667	0.11539235	0.00002724	0.32865692	1029.18658981	0.02381940	0.00073185	0.02381940	1.56204157	0.01604072
0.32083333	0.11541442	0.00002741	0.32758533	1029.18656554	0.02389152	0.00073845	0.02389152	1.56200193	0.01579470
0.32500000	0.11543594	0.00002758	0.32653096	1029.18654135	0.02396299	0.00074504	0.02396299	1.56196255	0.01555540
0.32916667	0.11545692	0.00002775	0.32549333	1029.18651723	0.02403381	0.00075162	0.02403381	1.56192341	0.01532254
0.33333333	0.11547739	0.00002792	0.32447197	1029.18649320	0.02410400	0.00075820	0.02410400	1.56188452	0.01509588
0.33750000	0.11549737	0.00002809	0.32346642	1029.18646924	0.02417357	0.00076477	0.02417357	1.56184587	0.01487520
0.34166667	0.11551686	0.00002826	0.32247624	1029.18644535	0.02424254	0.00077133	0.02424254	1.56180746	0.01466025
0.34583333	0.11553590	0.00002843	0.32150101	1029.18642153	0.02431091	0.00077788	0.02431091	1.56176927	0.01445083
0.35000000	0.11555449	0.00002860	0.32054034	1029.18639779	0.02437870	0.00078443	0.02437870	1.56173130	0.01424674
0.35416667	0.11557264	0.00002876	0.31959384	1029.18637411	0.02444592	0.00079097	0.02444592	1.56169355	0.01404777
0.35833333	0.11559038	0.00002893	0.31866114	1029.18635051	0.02451258	0.00079750	0.02451258	1.56165601	0.01385376
0.36250000	0.11560771	0.00002910	0.31774187	1029.18632697	0.02457868	0.00080403	0.02457868	1.56161868	0.01366451
0.36666667	0.11562465	0.00002927	0.31683570	1029.18630351	0.02464425	0.00081055	0.02464425	1.56158155	0.01347987
0.37083333	0.11564122	0.00002943	0.31594228	1029.18628010	0.02470929	0.00081707	0.02470929	1.56154462	0.01329967
0.37500000	0.11565741	0.00002960	0.31506131	1029.18625677	0.02477381	0.00082357	0.02477381	1.56150788	0.01312376
0.37916667	0.11567325	0.00002976	0.31419247	1029.18623350	0.02483782	0.00083008	0.02483782	1.56147134	0.01295199
0.38333333	0.11568874	0.00002993	0.31333546	1029.18621029	0.02490133	0.00083658	0.02490133	1.56143498	0.01278423
0.38750000	0.11570390	0.00003009	0.31249000	1029.18618715	0.02496434	0.00084307	0.02496434	1.56139881	0.01262034
0.39166667	0.11571873	0.00003026	0.31165581	1029.18616406	0.02502687	0.00084955	0.02502687	1.56136281	0.01246019
0.39583333	0.11573325	0.00003042	0.31083262	1029.18614104	0.02508893	0.00085604	0.02508893	1.56132699	0.01230366
0.40000000	0.11574747	0.00003059	0.31002017	1029.18611808	0.02515052	0.00086251	0.02515052	1.56129134	0.01215064
0.40416667	0.11576138	0.00003075	0.30921822	1029.18609518	0.02521165	0.00086899	0.02521165	1.56125585	0.01200100
0.40833333	0.11577501	0.00003092	0.30842651	1029.18607234	0.02527233	0.00087545	0.02527233	1.56122054	0.01185465
0.41250000	0.11578835	0.00003108	0.30764483	1029.18604956	0.02533256	0.00088192	0.02533256	1.56118538	0.01171148
0.41666667	0.11580143	0.00003124	0.30687293	1029.18602683	0.02539236	0.00088838	0.02539236	1.56115038	0.01157139
0.42083333	0.11581424	0.00003141	0.30611061	1029.18600416	0.02545173	0.00089483	0.02545173	1.56111554	0.01143429
0.42500000	0.11582679	0.00003157	0.30535765	1029.18598155	0.02551067	0.00090128	0.02551067	1.56108085	0.01130008
0.42916667	0.11583909	0.00003173	0.30461384	1029.18595899	0.02556921	0.00090773	0.02556921	1.56104631	0.01116868
0.43333333	0.11585115	0.00003190	0.30387899	1029.18593648	0.02562733	0.00091417	0.02562733	1.56101192	0.01104000
0.43750000	0.11586297	0.00003206	0.30315291	1029.18591404	0.02568505	0.00092061	0.02568505	1.56097767	0.01091397
0.44166667	0.11587456	0.00003222	0.30243540	1029.18589164	0.02574237	0.00092704	0.02574237	1.56094357	0.01079050
0.44583333	0.11588592	0.00003239	0.30172629	1029.18586930	0.02579930	0.00093347	0.02579930	1.56090960	0.01066952
0.45000000	0.11589706	0.00003255	0.30102540	1029.18584700	0.02585585	0.00093990	0.02585585	1.56087577	0.01055096
0.45416667	0.11590799	0.00003271	0.30033256	1029.18582477	0.02591202	0.00094633	0.02591202	1.56084207	0.01043474
0.45833333	0.11591872	0.00003287	0.29964761	1029.18580258	0.02596782	0.00095275	0.02596782	1.56080850	0.01032081
0.46250000	0.11592924	0.00003303	0.29897038	1029.18578044	0.02602325	0.00095917	0.02602325	1.56077507	0.01020910
0.46666667	0.11593956	0.00003319	0.29830072	1029.18575835	0.02607832	0.00096558	0.02607832	1.56074176	0.01009954
0.47083333	0.11594969	0.00003336	0.29763848	1029.18573631	0.02613303	0.00097199	0.02613303	1.56070858	0.00999208
0.47500000	0.11595963	0.00003352	0.29698351	1029.18571432	0.02618740	0.00097840	0.02618740	1.56067552	0.00988666
0.47916667	0.11596939	0.00003368	0.29633567	1029.18569238	0.02624141	0.00098481	0.02624141	1.56064258	0.00978322
0.48333333	0.11597897	0.00003384	0.29569482	1029.18567048	0.02629509	0.00099121	0.02629509	1.56060975	0.00968171
0.48750000	0.11598837	0.00003400	0.29506083	1029.18564864	0.02634843	0.00099761	0.02634843	1.56057705	0.00958208
0.49166667	0.11599760	0.00003416	0.29443356	1029.18562684	0.02640143	0.00100401	0.02640143	1.56054446	0.00948427
0.49583333	0.11600667	0.00003432	0.29381288	1029.18560508	0.02645412	0.00101041	0.02645412	1.56051198	0.00938825
0.50000000	0.11601557	0.00003448	0.29319868	1029.18558337	0.02650647	0.00101680	0.02650647	1.56047962	0.00929396
0.50416667	0.11602432	0.00003464	0.29259084	1029.18556171	0.02655851	0.00102319	0.02655851	1.56044736	0.00920136
0.50833333	0.11603291	0.00003481	0.29198922	1029.18554009	0.02661024	0.00102958	0.02661024	1.56041521	0.00911040
0.51250000	0.11604134	0.00003497	0.29139373	1029.18551851	0.02666166	0.00103596	0.02666166	1.56038317	0.00902105
