Time	Mass	U	W	C	Density	A_Density	Tkness	Radius	x	y	z
0.00000000	3.50113812	0.00000000	2.00000000	1.00000000	891.55750000	1029.18904355	0.50000000	0.05000000	0.00000000	0.00000000	-810.00000000
0.00416667	10.27659397	0.00172297	0.90116578	0.34069052	971.55931043	1029.18895157	0.22529186	0.12224814	0.00028598	-0.00000375	-809.68910342
0.00833333	13.56493689	0.00194290	0.80335587	0.25810206	984.33761072	1029.18888909	0.20083955	0.14778736	0.00074674	-0.00000903	-809.47795138
0.01250000	17.15798562	0.00208924	0.73078353	0.20405298	993.09288325	1029.18883272	0.18269663	0.17349941	0.00125219	-0.00001330	-809.28741189
0.01666667	20.75424891	0.00218677	0.68269288	0.16869500	998.99547533	1029.18878065	0.17067410	0.19683984	0.00178746	-0.00001621	-809.11144734
0.02083333	24.42174940	0.00225809	0.64669667	0.14336148	1003.31212658	1029.18873163	0.16167515	0.21891412	0.00234355	-0.00001764	-808.94576047
0.02500000	28.15903114	0.00231285	0.61841970	0.12433447	1006.60318378	1029.18868494	0.15460601	0.23998914	0.00291524	-0.00001753	-808.78797097
0.02916667	31.96747325	0.00235651	0.59534291	0.10952189	1009.19480071	1029.18864013	0.14883689	0.26027737	0.00349914	-0.00001587	-808.63651445
0.03333333	35.84572288	0.00239233	0.57598413	0.09767241	1011.28681115	1029.18859687	0.14399727	0.27991710	0.00409292	-0.00001265	-808.49030433
0.03750000	39.79174690	0.00242239	0.55939695	0.08798654	1013.00937574	1029.18855493	0.13985055	0.29900796	0.00469489	-0.00000790	-808.34854651
0.04166667	43.80321759	0.00244811	0.54494519	0.07992879	1014.45104742	1029.18851412	0.13623767	0.31762444	0.00530381	-0.00000161	-808.21063860
0.04583333	47.87775151	0.00247046	0.53218272	0.07312662	1015.67423111	1029.18847432	0.13304711	0.33582420	0.00591871	0.00000619	-808.07610989
0.05000000	52.01301736	0.00249015	0.52078589	0.06731273	1016.72419106	1029.18843541	0.13019796	0.35365306	0.00653885	0.00001548	-807.94458366
0.05416667	56.20678613	0.00250768	0.51051317	0.06229031	1017.63456182	1029.18839729	0.12762983	0.37114825	0.00716364	0.00002624	-807.81575239
0.05833333	60.45695173	0.00252347	0.50118000	0.05791126	1018.43085603	1029.18835989	0.12529659	0.38834059	0.00779258	0.00003845	-807.68936086
0.06250000	64.76153639	0.00253780	0.49264246	0.05406200	1019.13277287	1029.18832315	0.12316225	0.40525599	0.00842528	0.00005210	-807.56519422
0.06666667	69.11868840	0.00255092	0.48478638	0.05065400	1019.75576088	1029.18828702	0.12119827	0.42191650	0.00906141	0.00006716	-807.44306940
0.07083333	73.52667604	0.00256301	0.47751977	0.04761725	1020.31210232	1029.18825144	0.11938166	0.43834110	0.00970068	0.00008362	-807.32282878
0.07500000	77.98387984	0.00257421	0.47076754	0.04489566	1020.81168188	1029.18821638	0.11769365	0.45454633	0.01034286	0.00010147	-807.20433533
0.07916667	82.48878431	0.00258466	0.46446765	0.04244381	1021.26254198	1029.18818181	0.11611871	0.47054667	0.01098774	0.00012068	-807.08746901
0.08333333	87.03996976	0.00259445	0.45856832	0.04022449	1021.67129089	1029.18814768	0.11464392	0.48635493	0.01163516	0.00014123	-806.97212383
0.08750000	91.63610449	0.00260367	0.45302590	0.03820697	1022.04340713	1029.18811397	0.11325835	0.50198252	0.01228494	0.00016313	-806.85820563
0.09166667	96.27593750	0.00261238	0.44780329	0.03636566	1022.38346964	1029.18808066	0.11195273	0.51743963	0.01293696	0.00018634	-806.74563024
0.09583333	100.95829187	0.00262064	0.44286873	0.03467905	1022.69533409	1029.18804773	0.11071912	0.53273546	0.01359111	0.00021086	-806.63432203
0.10000000	105.68205858	0.00262850	0.43819479	0.03312897	1022.98226936	1029.18801515	0.10955067	0.54787833	0.01424727	0.00023667	-806.52421273
0.10416667	110.44619104	0.00263601	0.43375770	0.03169994	1023.24706439	1029.18798291	0.10844143	0.56287578	0.01490534	0.00026377	-806.41524040
0.10833333	115.24970005	0.00264320	0.42953666	0.03037872	1023.49211251	1029.18795099	0.10738620	0.57773473	0.01556526	0.00029213	-806.30734864
0.11250000	120.09164925	0.00265010	0.42551344	0.02915388	1023.71947874	1029.18791937	0.10638043	0.59246148	0.01622693	0.00032175	-806.20048591
0.11666667	124.97115105	0.00265674	0.42167194	0.02801557	1023.93095378	1029.18788804	0.10542008	0.60706184	0.01689030	0.00035262	-806.09460492
0.12083333	129.88736290	0.00266315	0.41799789	0.02695519	1024.12809780	1029.18785699	0.10450160	0.62154118	0.01755530	0.00038473	-805.98966216
0.12500000	134.83948392	0.00266934	0.41447858	0.02596523	1024.31227605	1029.18782621	0.10362180	0.63590443	0.01822187	0.00041806	-805.88561748
0.12916667	139.82675188	0.00267533	0.41110265	0.02503911	1024.48468822	1029.18779568	0.10277785	0.65015620	0.01888996	0.00045261	-805.78243372
0.13333333	144.84844043	0.00268114	0.40785991	0.02417104	1024.64639252	1029.18776539	0.10196719	0.66430075	0.01955953	0.00048836	-805.68007640
0.13750000	149.90385655	0.00268679	0.40474119	0.02335589	1024.79832582	1029.18773534	0.10118753	0.67834208	0.02023052	0.00052531	-805.57851345
0.14166667	154.99233831	0.00269228	0.40173819	0.02258910	1024.94132042	1029.18770552	0.10043681	0.69228388	0.02090292	0.00056344	-805.47771498
