depth,uo,vo,thetao,so,rhoa
-0.00000000,-0.02840869,0.01373164,15.42852503,33.64753092,1024.83537424
-3.00000000,0.00711173,-0.00412808,14.41972662,33.63997291,1025.04805988
-10.00000000,0.00238378,-0.01240509,13.81942065,33.81322722,1025.30746841
-15.00000000,0.00522554,0.00091130,13.45554750,34.13830034,1025.63349416
-20.00000000,0.01275178,-0.01033212,11.85167454,34.59738544,1026.30452341
-30.00000000,-0.00336081,-0.01728420,10.03040550,35.07730730,1027.00716531
-50.00000000,-0.00861135,-0.00811528,9.05224143,35.14376524,1027.22236892
-75.00000000,-0.00864501,-0.01078311,8.03080866,35.25742883,1027.47149084
-100.00000000,-0.00296285,-0.01274946,7.60571036,35.28672757,1027.55788474
-125.00000000,-0.00296285,-0.01274946,7.60571036,35.28672757,1027.55788474
