Time[min]	alpha	va proj	v_0	rhoa	Qs	Qf	Qe	v_phi	g1
0.00000000	0.08343368	0.00000000	2.10000000	1027.55788474	0.00117442	0.00003352	0.00117442	1.57079633	1.25140611
0.00016667	0.08328043	0.00000641	1.95817567	1027.55788474	0.00109218	0.00003471	0.00109218	1.57030652	1.18400506
0.00033333	0.08374211	0.00001230	1.84471220	1027.55788474	0.00103442	0.00003453	0.00103442	1.56985689	1.12725184
0.00050000	0.08419145	0.00001780	1.75055120	1027.55788474	0.00098720	0.00003443	0.00098720	1.56943671	1.07812395
0.00066667	0.08463351	0.00002297	1.67077109	1027.55788474	0.00094780	0.00003436	0.00094780	1.56904121	1.03495519
0.00083333	0.08506830	0.00002787	1.60205001	1027.55788474	0.00091438	0.00003431	0.00091438	1.56866680	0.99655868
0.00100000	0.08549584	0.00003253	1.54205457	1027.55788474	0.00088563	0.00003429	0.00088563	1.56831073	0.96206247
0.00116667	0.08591621	0.00003698	1.48908976	1027.55788474	0.00086063	0.00003429	0.00086063	1.56797082	0.93080825
0.00133333	0.08632947	0.00004124	1.44188986	1027.55788474	0.00083868	0.00003430	0.00083868	1.56764529	0.90228752
0.00150000	0.08673572	0.00004534	1.39948763	1027.55788474	0.00081924	0.00003432	0.00081924	1.56733271	0.87609984
0.00166667	0.08713504	0.00004927	1.36112919	1027.55788474	0.00080191	0.00003435	0.00080191	1.56703186	0.85192459
0.00183333	0.08752754	0.00005307	1.32621696	1027.55788474	0.00078637	0.00003439	0.00078637	1.56674170	0.82950130
0.00200000	0.08791331	0.00005674	1.29427023	1027.55788474	0.00077235	0.00003444	0.00077235	1.56646138	0.80861571
0.00216667	0.08829247	0.00006029	1.26489720	1027.55788474	0.00075965	0.00003449	0.00075965	1.56619011	0.78908955
0.00233333	0.08866513	0.00006373	1.23777491	1027.55788474	0.00074810	0.00003454	0.00074810	1.56592726	0.77077305
0.00250000	0.08903140	0.00006707	1.21263437	1027.55788474	0.00073754	0.00003460	0.00073754	1.56567222	0.75353921
0.00266667	0.08939138	0.00007031	1.18924950	1027.55788474	0.00072787	0.00003466	0.00072787	1.56542449	0.73727951
0.00283333	0.08974520	0.00007347	1.16742868	1027.55788474	0.00071898	0.00003473	0.00071898	1.56518361	0.72190052
0.00300000	0.09009295	0.00007653	1.14700825	1027.55788474	0.00071079	0.00003479	0.00071079	1.56494916	0.70732124
0.00316667	0.09043477	0.00007952	1.12784753	1027.55788474	0.00070321	0.00003486	0.00070321	1.56472078	0.69347109
0.00333333	0.09077075	0.00008244	1.10982477	1027.55788474	0.00069620	0.00003494	0.00069620	1.56449813	0.68028813
0.00350000	0.09110101	0.00008528	1.09283401	1027.55788474	0.00068968	0.00003501	0.00068968	1.56428091	0.66771780
